"Rank","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev"
"1","","DeAndre Hopkins","HOU","WR1","7","1","7","2.6","1.7"
"2","","Odell Beckham Jr.","NYG ","WR2","8","1","11","3.2","3.3"
"3","","Antonio Brown","PIT","WR3","9","2","6","3.5","1.4"
"4","","Le'Veon Bell","PIT","RB1","9","1","11","5.2","2.7"
"5","","Todd Gurley","LAR","RB2","8","1","12","5.8","3.1"
"6","","Ezekiel Elliott","DAL","RB3","6","3","14","6.2","3.0"
"7","","David Johnson","ARI ","RB4","8","4","13","7.1","2.5"
"8","","Mike Evans","TB","WR4","1","3","17","8.3","3.8"
"9","","Michael Thomas","NO","WR5","5","4","18","10.4","4.2"
"10","","Julio Jones","ATL","WR6","5","9","13","10.4","1.2"
"11","","A.J. Green","CIN","WR7","6","8","20","11.9","3.6"
"12","","Keenan Allen","LAC","WR8","9","10","25","15.9","4.6"
"13","","Brandin Cooks","NE","WR9","9","6","31","17.0","6.8"
"14","","Amari Cooper","OAK","WR10","10","12","47","21.2","9.5"
"15","","Stefon Diggs","MIN","WR11","9","12","53","22.2","11.3"
"16","","Devonta Freeman","ATL","RB5","5","13","33","23.0","6.6"
"17","","Tyreek Hill","KC","WR12","10","17","31","24.0","4.6"
"18","","Rob Gronkowski","NE","TE1","9","14","42","24.1","7.0"
"19","","T.Y. Hilton","IND","WR13","11","16","39","24.8","6.2"
"20","","Allen Robinson","JAC ","WR14","8","13","59","27.9","11.9"
"21","","Travis Kelce","KC","TE2","10","23","36","28.5","3.9"
"22","","Davante Adams","GB","WR15","8","5","96","30.0","24.3"
"23","","Kareem Hunt","KC","RB6","10","9","20","14.9","3.3"
"24","","Leonard Fournette","JAC","RB7","8","6","21","15.1","4.7"
"25","","Alvin Kamara","NO","RB8","5","2","39","15.6","10.0"
"26","","Sammy Watkins","LAR","WR16","8","14","60","34.2","13.4"
"27","","Adam Thielen","MIN","WR17","9","16","64","34.9","13.0"
"28","","Carlos Hyde","SF","RB9","11","23","58","37.6","9.4"
"29","","Melvin Gordon","LAC","RB10","9","10","53","21.3","12.6"
"30","","Russell Wilson","SEA","QB1","6","22","75","41.8","16.3"
